s,a,s_prime,r,p
"(np.int64(0), np.int64(10))",LEFT,"(0, 10)",0,0.8
"(np.int64(0), np.int64(10))",LEFT,"(0, 10)",0,0.1
"(np.int64(0), np.int64(10))",LEFT,"(0, 9)",0,0.1
"(np.int64(0), np.int64(10))",RIGHT,"(1, 10)",0,0.8
"(np.int64(0), np.int64(10))",RIGHT,"(0, 10)",0,0.1
"(np.int64(0), np.int64(10))",RIGHT,"(0, 9)",0,0.1
"(np.int64(0), np.int64(10))",DOWN,"(0, 9)",0,0.8
"(np.int64(0), np.int64(10))",DOWN,"(0, 10)",0,0.1
"(np.int64(0), np.int64(10))",DOWN,"(1, 10)",0,0.1
"(np.int64(0), np.int64(10))",UP,"(0, 10)",0,0.8
"(np.int64(0), np.int64(10))",UP,"(0, 10)",0,0.1
"(np.int64(0), np.int64(10))",UP,"(1, 10)",0,0.1
"(np.int64(1), np.int64(10))",LEFT,"(0, 10)",0,0.8
"(np.int64(1), np.int64(10))",LEFT,"(1, 10)",0,0.1
"(np.int64(1), np.int64(10))",LEFT,"(1, 9)",0,0.1
"(np.int64(1), np.int64(10))",RIGHT,"(2, 10)",0,0.8
"(np.int64(1), np.int64(10))",RIGHT,"(1, 10)",0,0.1
"(np.int64(1), np.int64(10))",RIGHT,"(1, 9)",0,0.1
"(np.int64(1), np.int64(10))",DOWN,"(1, 9)",0,0.8
"(np.int64(1), np.int64(10))",DOWN,"(0, 10)",0,0.1
"(np.int64(1), np.int64(10))",DOWN,"(2, 10)",0,0.1
"(np.int64(1), np.int64(10))",UP,"(1, 10)",0,0.8
"(np.int64(1), np.int64(10))",UP,"(0, 10)",0,0.1
"(np.int64(1), np.int64(10))",UP,"(2, 10)",0,0.1
"(np.int64(2), np.int64(10))",LEFT,"(1, 10)",0,0.8
"(np.int64(2), np.int64(10))",LEFT,"(2, 10)",0,0.1
"(np.int64(2), np.int64(10))",LEFT,"(2, 9)",0,0.1
"(np.int64(2), np.int64(10))",RIGHT,"(3, 10)",0,0.8
"(np.int64(2), np.int64(10))",RIGHT,"(2, 10)",0,0.1
"(np.int64(2), np.int64(10))",RIGHT,"(2, 9)",0,0.1
"(np.int64(2), np.int64(10))",DOWN,"(2, 9)",0,0.8
"(np.int64(2), np.int64(10))",DOWN,"(1, 10)",0,0.1
"(np.int64(2), np.int64(10))",DOWN,"(3, 10)",0,0.1
"(np.int64(2), np.int64(10))",UP,"(2, 10)",0,0.8
"(np.int64(2), np.int64(10))",UP,"(1, 10)",0,0.1
"(np.int64(2), np.int64(10))",UP,"(3, 10)",0,0.1
"(np.int64(3), np.int64(10))",LEFT,"(2, 10)",0,0.8
"(np.int64(3), np.int64(10))",LEFT,"(3, 10)",0,0.1
"(np.int64(3), np.int64(10))",LEFT,"(3, 9)",0,0.1
"(np.int64(3), np.int64(10))",RIGHT,"(4, 10)",0,0.8
"(np.int64(3), np.int64(10))",RIGHT,"(3, 10)",0,0.1
"(np.int64(3), np.int64(10))",RIGHT,"(3, 9)",0,0.1
"(np.int64(3), np.int64(10))",DOWN,"(3, 9)",0,0.8
"(np.int64(3), np.int64(10))",DOWN,"(2, 10)",0,0.1
"(np.int64(3), np.int64(10))",DOWN,"(4, 10)",0,0.1
"(np.int64(3), np.int64(10))",UP,"(3, 10)",0,0.8
"(np.int64(3), np.int64(10))",UP,"(2, 10)",0,0.1
"(np.int64(3), np.int64(10))",UP,"(4, 10)",0,0.1
"(np.int64(4), np.int64(10))",LEFT,"(3, 10)",0,0.8
"(np.int64(4), np.int64(10))",LEFT,"(4, 10)",0,0.1
"(np.int64(4), np.int64(10))",LEFT,"(4, 9)",0,0.1
"(np.int64(4), np.int64(10))",RIGHT,"(4, 10)",0,0.8
"(np.int64(4), np.int64(10))",RIGHT,"(4, 10)",0,0.1
"(np.int64(4), np.int64(10))",RIGHT,"(4, 9)",0,0.1
"(np.int64(4), np.int64(10))",DOWN,"(4, 9)",0,0.8
"(np.int64(4), np.int64(10))",DOWN,"(3, 10)",0,0.1
"(np.int64(4), np.int64(10))",DOWN,"(4, 10)",0,0.1
"(np.int64(4), np.int64(10))",UP,"(4, 10)",0,0.8
"(np.int64(4), np.int64(10))",UP,"(3, 10)",0,0.1
"(np.int64(4), np.int64(10))",UP,"(4, 10)",0,0.1
"(np.int64(6), np.int64(10))",LEFT,"(6, 10)",0,0.8
"(np.int64(6), np.int64(10))",LEFT,"(6, 10)",0,0.1
"(np.int64(6), np.int64(10))",LEFT,"(6, 9)",0,0.1
"(np.int64(6), np.int64(10))",RIGHT,"(7, 10)",0,0.8
"(np.int64(6), np.int64(10))",RIGHT,"(6, 10)",0,0.1
"(np.int64(6), np.int64(10))",RIGHT,"(6, 9)",0,0.1
"(np.int64(6), np.int64(10))",DOWN,"(6, 9)",0,0.8
"(np.int64(6), np.int64(10))",DOWN,"(6, 10)",0,0.1
"(np.int64(6), np.int64(10))",DOWN,"(7, 10)",0,0.1
"(np.int64(6), np.int64(10))",UP,"(6, 10)",0,0.8
"(np.int64(6), np.int64(10))",UP,"(6, 10)",0,0.1
"(np.int64(6), np.int64(10))",UP,"(7, 10)",0,0.1
"(np.int64(7), np.int64(10))",LEFT,"(6, 10)",0,0.8
"(np.int64(7), np.int64(10))",LEFT,"(7, 10)",0,0.1
"(np.int64(7), np.int64(10))",LEFT,"(7, 9)",0,0.1
"(np.int64(7), np.int64(10))",RIGHT,"(8, 10)",0,0.8
"(np.int64(7), np.int64(10))",RIGHT,"(7, 10)",0,0.1
"(np.int64(7), np.int64(10))",RIGHT,"(7, 9)",0,0.1
"(np.int64(7), np.int64(10))",DOWN,"(7, 9)",0,0.8
"(np.int64(7), np.int64(10))",DOWN,"(6, 10)",0,0.1
"(np.int64(7), np.int64(10))",DOWN,"(8, 10)",0,0.1
"(np.int64(7), np.int64(10))",UP,"(7, 10)",0,0.8
"(np.int64(7), np.int64(10))",UP,"(6, 10)",0,0.1
"(np.int64(7), np.int64(10))",UP,"(8, 10)",0,0.1
"(np.int64(8), np.int64(10))",LEFT,"(7, 10)",0,0.8
"(np.int64(8), np.int64(10))",LEFT,"(8, 10)",0,0.1
"(np.int64(8), np.int64(10))",LEFT,"(8, 9)",0,0.1
"(np.int64(8), np.int64(10))",RIGHT,"(9, 10)",0,0.8
"(np.int64(8), np.int64(10))",RIGHT,"(8, 10)",0,0.1
"(np.int64(8), np.int64(10))",RIGHT,"(8, 9)",0,0.1
"(np.int64(8), np.int64(10))",DOWN,"(8, 9)",0,0.8
"(np.int64(8), np.int64(10))",DOWN,"(7, 10)",0,0.1
"(np.int64(8), np.int64(10))",DOWN,"(9, 10)",0,0.1
"(np.int64(8), np.int64(10))",UP,"(8, 10)",0,0.8
"(np.int64(8), np.int64(10))",UP,"(7, 10)",0,0.1
"(np.int64(8), np.int64(10))",UP,"(9, 10)",0,0.1
"(np.int64(9), np.int64(10))",LEFT,"(8, 10)",0,0.8
"(np.int64(9), np.int64(10))",LEFT,"(9, 10)",0,0.1
"(np.int64(9), np.int64(10))",LEFT,"(9, 9)",0,0.1
"(np.int64(9), np.int64(10))",RIGHT,"(10, 10)",1,0.8
"(np.int64(9), np.int64(10))",RIGHT,"(9, 10)",0,0.1
"(np.int64(9), np.int64(10))",RIGHT,"(9, 9)",0,0.1
"(np.int64(9), np.int64(10))",DOWN,"(9, 9)",0,0.8
"(np.int64(9), np.int64(10))",DOWN,"(8, 10)",0,0.1
"(np.int64(9), np.int64(10))",DOWN,"(10, 10)",1,0.1
"(np.int64(9), np.int64(10))",UP,"(9, 10)",0,0.8
"(np.int64(9), np.int64(10))",UP,"(8, 10)",0,0.1
"(np.int64(9), np.int64(10))",UP,"(10, 10)",1,0.1
"(np.int64(10), np.int64(10))",(any),"(0, 0)",0,1.0
"(np.int64(0), np.int64(9))",LEFT,"(0, 9)",0,0.8
"(np.int64(0), np.int64(9))",LEFT,"(0, 10)",0,0.1
"(np.int64(0), np.int64(9))",LEFT,"(0, 8)",0,0.1
"(np.int64(0), np.int64(9))",RIGHT,"(1, 9)",0,0.8
"(np.int64(0), np.int64(9))",RIGHT,"(0, 10)",0,0.1
"(np.int64(0), np.int64(9))",RIGHT,"(0, 8)",0,0.1
"(np.int64(0), np.int64(9))",DOWN,"(0, 8)",0,0.8
"(np.int64(0), np.int64(9))",DOWN,"(0, 9)",0,0.1
"(np.int64(0), np.int64(9))",DOWN,"(1, 9)",0,0.1
"(np.int64(0), np.int64(9))",UP,"(0, 10)",0,0.8
"(np.int64(0), np.int64(9))",UP,"(0, 9)",0,0.1
"(np.int64(0), np.int64(9))",UP,"(1, 9)",0,0.1
"(np.int64(1), np.int64(9))",LEFT,"(0, 9)",0,0.8
"(np.int64(1), np.int64(9))",LEFT,"(1, 10)",0,0.1
"(np.int64(1), np.int64(9))",LEFT,"(1, 8)",0,0.1
"(np.int64(1), np.int64(9))",RIGHT,"(2, 9)",0,0.8
"(np.int64(1), np.int64(9))",RIGHT,"(1, 10)",0,0.1
"(np.int64(1), np.int64(9))",RIGHT,"(1, 8)",0,0.1
"(np.int64(1), np.int64(9))",DOWN,"(1, 8)",0,0.8
"(np.int64(1), np.int64(9))",DOWN,"(0, 9)",0,0.1
"(np.int64(1), np.int64(9))",DOWN,"(2, 9)",0,0.1
"(np.int64(1), np.int64(9))",UP,"(1, 10)",0,0.8
"(np.int64(1), np.int64(9))",UP,"(0, 9)",0,0.1
"(np.int64(1), np.int64(9))",UP,"(2, 9)",0,0.1
"(np.int64(2), np.int64(9))",LEFT,"(1, 9)",0,0.8
"(np.int64(2), np.int64(9))",LEFT,"(2, 10)",0,0.1
"(np.int64(2), np.int64(9))",LEFT,"(2, 8)",0,0.1
"(np.int64(2), np.int64(9))",RIGHT,"(3, 9)",0,0.8
"(np.int64(2), np.int64(9))",RIGHT,"(2, 10)",0,0.1
"(np.int64(2), np.int64(9))",RIGHT,"(2, 8)",0,0.1
"(np.int64(2), np.int64(9))",DOWN,"(2, 8)",0,0.8
"(np.int64(2), np.int64(9))",DOWN,"(1, 9)",0,0.1
"(np.int64(2), np.int64(9))",DOWN,"(3, 9)",0,0.1
"(np.int64(2), np.int64(9))",UP,"(2, 10)",0,0.8
"(np.int64(2), np.int64(9))",UP,"(1, 9)",0,0.1
"(np.int64(2), np.int64(9))",UP,"(3, 9)",0,0.1
"(np.int64(3), np.int64(9))",LEFT,"(2, 9)",0,0.8
"(np.int64(3), np.int64(9))",LEFT,"(3, 10)",0,0.1
"(np.int64(3), np.int64(9))",LEFT,"(3, 8)",0,0.1
"(np.int64(3), np.int64(9))",RIGHT,"(4, 9)",0,0.8
"(np.int64(3), np.int64(9))",RIGHT,"(3, 10)",0,0.1
"(np.int64(3), np.int64(9))",RIGHT,"(3, 8)",0,0.1
"(np.int64(3), np.int64(9))",DOWN,"(3, 8)",0,0.8
"(np.int64(3), np.int64(9))",DOWN,"(2, 9)",0,0.1
"(np.int64(3), np.int64(9))",DOWN,"(4, 9)",0,0.1
"(np.int64(3), np.int64(9))",UP,"(3, 10)",0,0.8
"(np.int64(3), np.int64(9))",UP,"(2, 9)",0,0.1
"(np.int64(3), np.int64(9))",UP,"(4, 9)",0,0.1
"(np.int64(4), np.int64(9))",LEFT,"(3, 9)",0,0.8
"(np.int64(4), np.int64(9))",LEFT,"(4, 10)",0,0.1
"(np.int64(4), np.int64(9))",LEFT,"(4, 8)",0,0.1
"(np.int64(4), np.int64(9))",RIGHT,"(4, 9)",0,0.8
"(np.int64(4), np.int64(9))",RIGHT,"(4, 10)",0,0.1
"(np.int64(4), np.int64(9))",RIGHT,"(4, 8)",0,0.1
"(np.int64(4), np.int64(9))",DOWN,"(4, 8)",0,0.8
"(np.int64(4), np.int64(9))",DOWN,"(3, 9)",0,0.1
"(np.int64(4), np.int64(9))",DOWN,"(4, 9)",0,0.1
"(np.int64(4), np.int64(9))",UP,"(4, 10)",0,0.8
"(np.int64(4), np.int64(9))",UP,"(3, 9)",0,0.1
"(np.int64(4), np.int64(9))",UP,"(4, 9)",0,0.1
"(np.int64(6), np.int64(9))",LEFT,"(6, 9)",0,0.8
"(np.int64(6), np.int64(9))",LEFT,"(6, 10)",0,0.1
"(np.int64(6), np.int64(9))",LEFT,"(6, 8)",0,0.1
"(np.int64(6), np.int64(9))",RIGHT,"(7, 9)",0,0.8
"(np.int64(6), np.int64(9))",RIGHT,"(6, 10)",0,0.1
"(np.int64(6), np.int64(9))",RIGHT,"(6, 8)",0,0.1
"(np.int64(6), np.int64(9))",DOWN,"(6, 8)",0,0.8
"(np.int64(6), np.int64(9))",DOWN,"(6, 9)",0,0.1
"(np.int64(6), np.int64(9))",DOWN,"(7, 9)",0,0.1
"(np.int64(6), np.int64(9))",UP,"(6, 10)",0,0.8
"(np.int64(6), np.int64(9))",UP,"(6, 9)",0,0.1
"(np.int64(6), np.int64(9))",UP,"(7, 9)",0,0.1
"(np.int64(7), np.int64(9))",LEFT,"(6, 9)",0,0.8
"(np.int64(7), np.int64(9))",LEFT,"(7, 10)",0,0.1
"(np.int64(7), np.int64(9))",LEFT,"(7, 8)",0,0.1
"(np.int64(7), np.int64(9))",RIGHT,"(8, 9)",0,0.8
"(np.int64(7), np.int64(9))",RIGHT,"(7, 10)",0,0.1
"(np.int64(7), np.int64(9))",RIGHT,"(7, 8)",0,0.1
"(np.int64(7), np.int64(9))",DOWN,"(7, 8)",0,0.8
"(np.int64(7), np.int64(9))",DOWN,"(6, 9)",0,0.1
"(np.int64(7), np.int64(9))",DOWN,"(8, 9)",0,0.1
"(np.int64(7), np.int64(9))",UP,"(7, 10)",0,0.8
"(np.int64(7), np.int64(9))",UP,"(6, 9)",0,0.1
"(np.int64(7), np.int64(9))",UP,"(8, 9)",0,0.1
"(np.int64(8), np.int64(9))",LEFT,"(7, 9)",0,0.8
"(np.int64(8), np.int64(9))",LEFT,"(8, 10)",0,0.1
"(np.int64(8), np.int64(9))",LEFT,"(8, 8)",0,0.1
"(np.int64(8), np.int64(9))",RIGHT,"(9, 9)",0,0.8
"(np.int64(8), np.int64(9))",RIGHT,"(8, 10)",0,0.1
"(np.int64(8), np.int64(9))",RIGHT,"(8, 8)",0,0.1
"(np.int64(8), np.int64(9))",DOWN,"(8, 8)",0,0.8
"(np.int64(8), np.int64(9))",DOWN,"(7, 9)",0,0.1
"(np.int64(8), np.int64(9))",DOWN,"(9, 9)",0,0.1
"(np.int64(8), np.int64(9))",UP,"(8, 10)",0,0.8
"(np.int64(8), np.int64(9))",UP,"(7, 9)",0,0.1
"(np.int64(8), np.int64(9))",UP,"(9, 9)",0,0.1
"(np.int64(9), np.int64(9))",LEFT,"(8, 9)",0,0.8
"(np.int64(9), np.int64(9))",LEFT,"(9, 10)",0,0.1
"(np.int64(9), np.int64(9))",LEFT,"(9, 8)",0,0.1
"(np.int64(9), np.int64(9))",RIGHT,"(10, 9)",0,0.8
"(np.int64(9), np.int64(9))",RIGHT,"(9, 10)",0,0.1
"(np.int64(9), np.int64(9))",RIGHT,"(9, 8)",0,0.1
"(np.int64(9), np.int64(9))",DOWN,"(9, 8)",0,0.8
"(np.int64(9), np.int64(9))",DOWN,"(8, 9)",0,0.1
"(np.int64(9), np.int64(9))",DOWN,"(10, 9)",0,0.1
"(np.int64(9), np.int64(9))",UP,"(9, 10)",0,0.8
"(np.int64(9), np.int64(9))",UP,"(8, 9)",0,0.1
"(np.int64(9), np.int64(9))",UP,"(10, 9)",0,0.1
"(np.int64(10), np.int64(9))",LEFT,"(9, 9)",0,0.8
"(np.int64(10), np.int64(9))",LEFT,"(10, 10)",1,0.1
"(np.int64(10), np.int64(9))",LEFT,"(10, 8)",0,0.1
"(np.int64(10), np.int64(9))",RIGHT,"(10, 9)",0,0.8
"(np.int64(10), np.int64(9))",RIGHT,"(10, 10)",1,0.1
"(np.int64(10), np.int64(9))",RIGHT,"(10, 8)",0,0.1
"(np.int64(10), np.int64(9))",DOWN,"(10, 8)",0,0.8
"(np.int64(10), np.int64(9))",DOWN,"(9, 9)",0,0.1
"(np.int64(10), np.int64(9))",DOWN,"(10, 9)",0,0.1
"(np.int64(10), np.int64(9))",UP,"(10, 10)",1,0.8
"(np.int64(10), np.int64(9))",UP,"(9, 9)",0,0.1
"(np.int64(10), np.int64(9))",UP,"(10, 9)",0,0.1
"(np.int64(0), np.int64(8))",LEFT,"(0, 8)",0,0.8
"(np.int64(0), np.int64(8))",LEFT,"(0, 9)",0,0.1
"(np.int64(0), np.int64(8))",LEFT,"(0, 7)",0,0.1
"(np.int64(0), np.int64(8))",RIGHT,"(1, 8)",0,0.8
"(np.int64(0), np.int64(8))",RIGHT,"(0, 9)",0,0.1
"(np.int64(0), np.int64(8))",RIGHT,"(0, 7)",0,0.1
"(np.int64(0), np.int64(8))",DOWN,"(0, 7)",0,0.8
"(np.int64(0), np.int64(8))",DOWN,"(0, 8)",0,0.1
"(np.int64(0), np.int64(8))",DOWN,"(1, 8)",0,0.1
"(np.int64(0), np.int64(8))",UP,"(0, 9)",0,0.8
"(np.int64(0), np.int64(8))",UP,"(0, 8)",0,0.1
"(np.int64(0), np.int64(8))",UP,"(1, 8)",0,0.1
"(np.int64(1), np.int64(8))",LEFT,"(0, 8)",0,0.8
"(np.int64(1), np.int64(8))",LEFT,"(1, 9)",0,0.1
"(np.int64(1), np.int64(8))",LEFT,"(1, 7)",0,0.1
"(np.int64(1), np.int64(8))",RIGHT,"(2, 8)",0,0.8
"(np.int64(1), np.int64(8))",RIGHT,"(1, 9)",0,0.1
"(np.int64(1), np.int64(8))",RIGHT,"(1, 7)",0,0.1
"(np.int64(1), np.int64(8))",DOWN,"(1, 7)",0,0.8
"(np.int64(1), np.int64(8))",DOWN,"(0, 8)",0,0.1
"(np.int64(1), np.int64(8))",DOWN,"(2, 8)",0,0.1
"(np.int64(1), np.int64(8))",UP,"(1, 9)",0,0.8
"(np.int64(1), np.int64(8))",UP,"(0, 8)",0,0.1
"(np.int64(1), np.int64(8))",UP,"(2, 8)",0,0.1
"(np.int64(2), np.int64(8))",LEFT,"(1, 8)",0,0.8
"(np.int64(2), np.int64(8))",LEFT,"(2, 9)",0,0.1
"(np.int64(2), np.int64(8))",LEFT,"(2, 7)",0,0.1
"(np.int64(2), np.int64(8))",RIGHT,"(3, 8)",0,0.8
"(np.int64(2), np.int64(8))",RIGHT,"(2, 9)",0,0.1
"(np.int64(2), np.int64(8))",RIGHT,"(2, 7)",0,0.1
"(np.int64(2), np.int64(8))",DOWN,"(2, 7)",0,0.8
"(np.int64(2), np.int64(8))",DOWN,"(1, 8)",0,0.1
"(np.int64(2), np.int64(8))",DOWN,"(3, 8)",0,0.1
"(np.int64(2), np.int64(8))",UP,"(2, 9)",0,0.8
"(np.int64(2), np.int64(8))",UP,"(1, 8)",0,0.1
"(np.int64(2), np.int64(8))",UP,"(3, 8)",0,0.1
"(np.int64(3), np.int64(8))",LEFT,"(2, 8)",0,0.8
"(np.int64(3), np.int64(8))",LEFT,"(3, 9)",0,0.1
"(np.int64(3), np.int64(8))",LEFT,"(3, 7)",0,0.1
"(np.int64(3), np.int64(8))",RIGHT,"(4, 8)",0,0.8
"(np.int64(3), np.int64(8))",RIGHT,"(3, 9)",0,0.1
"(np.int64(3), np.int64(8))",RIGHT,"(3, 7)",0,0.1
"(np.int64(3), np.int64(8))",DOWN,"(3, 7)",0,0.8
"(np.int64(3), np.int64(8))",DOWN,"(2, 8)",0,0.1
"(np.int64(3), np.int64(8))",DOWN,"(4, 8)",0,0.1
"(np.int64(3), np.int64(8))",UP,"(3, 9)",0,0.8
"(np.int64(3), np.int64(8))",UP,"(2, 8)",0,0.1
"(np.int64(3), np.int64(8))",UP,"(4, 8)",0,0.1
"(np.int64(4), np.int64(8))",LEFT,"(3, 8)",0,0.8
"(np.int64(4), np.int64(8))",LEFT,"(4, 9)",0,0.1
"(np.int64(4), np.int64(8))",LEFT,"(4, 7)",0,0.1
"(np.int64(4), np.int64(8))",RIGHT,"(5, 8)",0,0.8
"(np.int64(4), np.int64(8))",RIGHT,"(4, 9)",0,0.1
"(np.int64(4), np.int64(8))",RIGHT,"(4, 7)",0,0.1
"(np.int64(4), np.int64(8))",DOWN,"(4, 7)",0,0.8
"(np.int64(4), np.int64(8))",DOWN,"(3, 8)",0,0.1
"(np.int64(4), np.int64(8))",DOWN,"(5, 8)",0,0.1
"(np.int64(4), np.int64(8))",UP,"(4, 9)",0,0.8
"(np.int64(4), np.int64(8))",UP,"(3, 8)",0,0.1
"(np.int64(4), np.int64(8))",UP,"(5, 8)",0,0.1
"(np.int64(5), np.int64(8))",LEFT,"(4, 8)",0,0.8
"(np.int64(5), np.int64(8))",LEFT,"(5, 8)",0,0.1
"(np.int64(5), np.int64(8))",LEFT,"(5, 8)",0,0.1
"(np.int64(5), np.int64(8))",RIGHT,"(6, 8)",0,0.8
"(np.int64(5), np.int64(8))",RIGHT,"(5, 8)",0,0.1
"(np.int64(5), np.int64(8))",RIGHT,"(5, 8)",0,0.1
"(np.int64(5), np.int64(8))",DOWN,"(5, 8)",0,0.8
"(np.int64(5), np.int64(8))",DOWN,"(4, 8)",0,0.1
"(np.int64(5), np.int64(8))",DOWN,"(6, 8)",0,0.1
"(np.int64(5), np.int64(8))",UP,"(5, 8)",0,0.8
"(np.int64(5), np.int64(8))",UP,"(4, 8)",0,0.1
"(np.int64(5), np.int64(8))",UP,"(6, 8)",0,0.1
"(np.int64(6), np.int64(8))",LEFT,"(5, 8)",0,0.8
"(np.int64(6), np.int64(8))",LEFT,"(6, 9)",0,0.1
"(np.int64(6), np.int64(8))",LEFT,"(6, 7)",0,0.1
"(np.int64(6), np.int64(8))",RIGHT,"(7, 8)",0,0.8
"(np.int64(6), np.int64(8))",RIGHT,"(6, 9)",0,0.1
