s,a,s_prime,r,p
"(np.int64(6), np.int64(8))",RIGHT,"(6, 7)",0,0.1
"(np.int64(6), np.int64(8))",DOWN,"(6, 7)",0,0.8
"(np.int64(6), np.int64(8))",DOWN,"(5, 8)",0,0.1
"(np.int64(6), np.int64(8))",DOWN,"(7, 8)",0,0.1
"(np.int64(6), np.int64(8))",UP,"(6, 9)",0,0.8
"(np.int64(6), np.int64(8))",UP,"(5, 8)",0,0.1
"(np.int64(6), np.int64(8))",UP,"(7, 8)",0,0.1
"(np.int64(7), np.int64(8))",LEFT,"(6, 8)",0,0.8
"(np.int64(7), np.int64(8))",LEFT,"(7, 9)",0,0.1
"(np.int64(7), np.int64(8))",LEFT,"(7, 7)",0,0.1
"(np.int64(7), np.int64(8))",RIGHT,"(8, 8)",0,0.8
"(np.int64(7), np.int64(8))",RIGHT,"(7, 9)",0,0.1
"(np.int64(7), np.int64(8))",RIGHT,"(7, 7)",0,0.1
"(np.int64(7), np.int64(8))",DOWN,"(7, 7)",0,0.8
"(np.int64(7), np.int64(8))",DOWN,"(6, 8)",0,0.1
"(np.int64(7), np.int64(8))",DOWN,"(8, 8)",0,0.1
"(np.int64(7), np.int64(8))",UP,"(7, 9)",0,0.8
"(np.int64(7), np.int64(8))",UP,"(6, 8)",0,0.1
"(np.int64(7), np.int64(8))",UP,"(8, 8)",0,0.1
"(np.int64(8), np.int64(8))",LEFT,"(7, 8)",0,0.8
"(np.int64(8), np.int64(8))",LEFT,"(8, 9)",0,0.1
"(np.int64(8), np.int64(8))",LEFT,"(8, 7)",0,0.1
"(np.int64(8), np.int64(8))",RIGHT,"(9, 8)",0,0.8
"(np.int64(8), np.int64(8))",RIGHT,"(8, 9)",0,0.1
"(np.int64(8), np.int64(8))",RIGHT,"(8, 7)",0,0.1
"(np.int64(8), np.int64(8))",DOWN,"(8, 7)",0,0.8
"(np.int64(8), np.int64(8))",DOWN,"(7, 8)",0,0.1
"(np.int64(8), np.int64(8))",DOWN,"(9, 8)",0,0.1
"(np.int64(8), np.int64(8))",UP,"(8, 9)",0,0.8
"(np.int64(8), np.int64(8))",UP,"(7, 8)",0,0.1
"(np.int64(8), np.int64(8))",UP,"(9, 8)",0,0.1
"(np.int64(9), np.int64(8))",LEFT,"(8, 8)",0,0.8
"(np.int64(9), np.int64(8))",LEFT,"(9, 9)",0,0.1
"(np.int64(9), np.int64(8))",LEFT,"(9, 7)",0,0.1
"(np.int64(9), np.int64(8))",RIGHT,"(10, 8)",0,0.8
"(np.int64(9), np.int64(8))",RIGHT,"(9, 9)",0,0.1
"(np.int64(9), np.int64(8))",RIGHT,"(9, 7)",0,0.1
"(np.int64(9), np.int64(8))",DOWN,"(9, 7)",0,0.8
"(np.int64(9), np.int64(8))",DOWN,"(8, 8)",0,0.1
"(np.int64(9), np.int64(8))",DOWN,"(10, 8)",0,0.1
"(np.int64(9), np.int64(8))",UP,"(9, 9)",0,0.8
"(np.int64(9), np.int64(8))",UP,"(8, 8)",0,0.1
"(np.int64(9), np.int64(8))",UP,"(10, 8)",0,0.1
"(np.int64(10), np.int64(8))",LEFT,"(9, 8)",0,0.8
"(np.int64(10), np.int64(8))",LEFT,"(10, 9)",0,0.1
"(np.int64(10), np.int64(8))",LEFT,"(10, 7)",0,0.1
"(np.int64(10), np.int64(8))",RIGHT,"(10, 8)",0,0.8
"(np.int64(10), np.int64(8))",RIGHT,"(10, 9)",0,0.1
"(np.int64(10), np.int64(8))",RIGHT,"(10, 7)",0,0.1
"(np.int64(10), np.int64(8))",DOWN,"(10, 7)",0,0.8
"(np.int64(10), np.int64(8))",DOWN,"(9, 8)",0,0.1
"(np.int64(10), np.int64(8))",DOWN,"(10, 8)",0,0.1
"(np.int64(10), np.int64(8))",UP,"(10, 9)",0,0.8
"(np.int64(10), np.int64(8))",UP,"(9, 8)",0,0.1
"(np.int64(10), np.int64(8))",UP,"(10, 8)",0,0.1
"(np.int64(0), np.int64(7))",LEFT,"(0, 7)",0,0.8
"(np.int64(0), np.int64(7))",LEFT,"(0, 8)",0,0.1
"(np.int64(0), np.int64(7))",LEFT,"(0, 6)",0,0.1
"(np.int64(0), np.int64(7))",RIGHT,"(1, 7)",0,0.8
"(np.int64(0), np.int64(7))",RIGHT,"(0, 8)",0,0.1
"(np.int64(0), np.int64(7))",RIGHT,"(0, 6)",0,0.1
"(np.int64(0), np.int64(7))",DOWN,"(0, 6)",0,0.8
"(np.int64(0), np.int64(7))",DOWN,"(0, 7)",0,0.1
"(np.int64(0), np.int64(7))",DOWN,"(1, 7)",0,0.1
"(np.int64(0), np.int64(7))",UP,"(0, 8)",0,0.8
"(np.int64(0), np.int64(7))",UP,"(0, 7)",0,0.1
"(np.int64(0), np.int64(7))",UP,"(1, 7)",0,0.1
"(np.int64(1), np.int64(7))",LEFT,"(0, 7)",0,0.8
"(np.int64(1), np.int64(7))",LEFT,"(1, 8)",0,0.1
"(np.int64(1), np.int64(7))",LEFT,"(1, 6)",0,0.1
"(np.int64(1), np.int64(7))",RIGHT,"(2, 7)",0,0.8
"(np.int64(1), np.int64(7))",RIGHT,"(1, 8)",0,0.1
"(np.int64(1), np.int64(7))",RIGHT,"(1, 6)",0,0.1
"(np.int64(1), np.int64(7))",DOWN,"(1, 6)",0,0.8
"(np.int64(1), np.int64(7))",DOWN,"(0, 7)",0,0.1
"(np.int64(1), np.int64(7))",DOWN,"(2, 7)",0,0.1
"(np.int64(1), np.int64(7))",UP,"(1, 8)",0,0.8
"(np.int64(1), np.int64(7))",UP,"(0, 7)",0,0.1
"(np.int64(1), np.int64(7))",UP,"(2, 7)",0,0.1
"(np.int64(2), np.int64(7))",LEFT,"(1, 7)",0,0.8
"(np.int64(2), np.int64(7))",LEFT,"(2, 8)",0,0.1
"(np.int64(2), np.int64(7))",LEFT,"(2, 6)",0,0.1
"(np.int64(2), np.int64(7))",RIGHT,"(3, 7)",0,0.8
"(np.int64(2), np.int64(7))",RIGHT,"(2, 8)",0,0.1
"(np.int64(2), np.int64(7))",RIGHT,"(2, 6)",0,0.1
"(np.int64(2), np.int64(7))",DOWN,"(2, 6)",0,0.8
"(np.int64(2), np.int64(7))",DOWN,"(1, 7)",0,0.1
"(np.int64(2), np.int64(7))",DOWN,"(3, 7)",0,0.1
"(np.int64(2), np.int64(7))",UP,"(2, 8)",0,0.8
"(np.int64(2), np.int64(7))",UP,"(1, 7)",0,0.1
"(np.int64(2), np.int64(7))",UP,"(3, 7)",0,0.1
"(np.int64(3), np.int64(7))",LEFT,"(2, 7)",0,0.8
"(np.int64(3), np.int64(7))",LEFT,"(3, 8)",0,0.1
"(np.int64(3), np.int64(7))",LEFT,"(3, 6)",0,0.1
"(np.int64(3), np.int64(7))",RIGHT,"(4, 7)",0,0.8
"(np.int64(3), np.int64(7))",RIGHT,"(3, 8)",0,0.1
"(np.int64(3), np.int64(7))",RIGHT,"(3, 6)",0,0.1
"(np.int64(3), np.int64(7))",DOWN,"(3, 6)",0,0.8
"(np.int64(3), np.int64(7))",DOWN,"(2, 7)",0,0.1
"(np.int64(3), np.int64(7))",DOWN,"(4, 7)",0,0.1
"(np.int64(3), np.int64(7))",UP,"(3, 8)",0,0.8
"(np.int64(3), np.int64(7))",UP,"(2, 7)",0,0.1
"(np.int64(3), np.int64(7))",UP,"(4, 7)",0,0.1
"(np.int64(4), np.int64(7))",LEFT,"(3, 7)",0,0.8
"(np.int64(4), np.int64(7))",LEFT,"(4, 8)",0,0.1
"(np.int64(4), np.int64(7))",LEFT,"(4, 6)",0,0.1
"(np.int64(4), np.int64(7))",RIGHT,"(4, 7)",0,0.8
"(np.int64(4), np.int64(7))",RIGHT,"(4, 8)",0,0.1
"(np.int64(4), np.int64(7))",RIGHT,"(4, 6)",0,0.1
"(np.int64(4), np.int64(7))",DOWN,"(4, 6)",0,0.8
"(np.int64(4), np.int64(7))",DOWN,"(3, 7)",0,0.1
"(np.int64(4), np.int64(7))",DOWN,"(4, 7)",0,0.1
"(np.int64(4), np.int64(7))",UP,"(4, 8)",0,0.8
"(np.int64(4), np.int64(7))",UP,"(3, 7)",0,0.1
"(np.int64(4), np.int64(7))",UP,"(4, 7)",0,0.1
"(np.int64(6), np.int64(7))",LEFT,"(6, 7)",0,0.8
"(np.int64(6), np.int64(7))",LEFT,"(6, 8)",0,0.1
"(np.int64(6), np.int64(7))",LEFT,"(6, 6)",0,0.1
"(np.int64(6), np.int64(7))",RIGHT,"(7, 7)",0,0.8
"(np.int64(6), np.int64(7))",RIGHT,"(6, 8)",0,0.1
"(np.int64(6), np.int64(7))",RIGHT,"(6, 6)",0,0.1
"(np.int64(6), np.int64(7))",DOWN,"(6, 6)",0,0.8
"(np.int64(6), np.int64(7))",DOWN,"(6, 7)",0,0.1
"(np.int64(6), np.int64(7))",DOWN,"(7, 7)",0,0.1
"(np.int64(6), np.int64(7))",UP,"(6, 8)",0,0.8
"(np.int64(6), np.int64(7))",UP,"(6, 7)",0,0.1
"(np.int64(6), np.int64(7))",UP,"(7, 7)",0,0.1
"(np.int64(7), np.int64(7))",LEFT,"(6, 7)",0,0.8
"(np.int64(7), np.int64(7))",LEFT,"(7, 8)",0,0.1
"(np.int64(7), np.int64(7))",LEFT,"(7, 6)",0,0.1
"(np.int64(7), np.int64(7))",RIGHT,"(8, 7)",0,0.8
"(np.int64(7), np.int64(7))",RIGHT,"(7, 8)",0,0.1
"(np.int64(7), np.int64(7))",RIGHT,"(7, 6)",0,0.1
"(np.int64(7), np.int64(7))",DOWN,"(7, 6)",0,0.8
"(np.int64(7), np.int64(7))",DOWN,"(6, 7)",0,0.1
"(np.int64(7), np.int64(7))",DOWN,"(8, 7)",0,0.1
"(np.int64(7), np.int64(7))",UP,"(7, 8)",0,0.8
"(np.int64(7), np.int64(7))",UP,"(6, 7)",0,0.1
"(np.int64(7), np.int64(7))",UP,"(8, 7)",0,0.1
"(np.int64(8), np.int64(7))",LEFT,"(7, 7)",0,0.8
"(np.int64(8), np.int64(7))",LEFT,"(8, 8)",0,0.1
"(np.int64(8), np.int64(7))",LEFT,"(8, 6)",0,0.1
"(np.int64(8), np.int64(7))",RIGHT,"(9, 7)",0,0.8
"(np.int64(8), np.int64(7))",RIGHT,"(8, 8)",0,0.1
"(np.int64(8), np.int64(7))",RIGHT,"(8, 6)",0,0.1
"(np.int64(8), np.int64(7))",DOWN,"(8, 6)",0,0.8
"(np.int64(8), np.int64(7))",DOWN,"(7, 7)",0,0.1
"(np.int64(8), np.int64(7))",DOWN,"(9, 7)",0,0.1
"(np.int64(8), np.int64(7))",UP,"(8, 8)",0,0.8
"(np.int64(8), np.int64(7))",UP,"(7, 7)",0,0.1
"(np.int64(8), np.int64(7))",UP,"(9, 7)",0,0.1
"(np.int64(9), np.int64(7))",LEFT,"(8, 7)",0,0.8
"(np.int64(9), np.int64(7))",LEFT,"(9, 8)",0,0.1
"(np.int64(9), np.int64(7))",LEFT,"(9, 6)",0,0.1
"(np.int64(9), np.int64(7))",RIGHT,"(10, 7)",0,0.8
"(np.int64(9), np.int64(7))",RIGHT,"(9, 8)",0,0.1
"(np.int64(9), np.int64(7))",RIGHT,"(9, 6)",0,0.1
"(np.int64(9), np.int64(7))",DOWN,"(9, 6)",0,0.8
"(np.int64(9), np.int64(7))",DOWN,"(8, 7)",0,0.1
"(np.int64(9), np.int64(7))",DOWN,"(10, 7)",0,0.1
"(np.int64(9), np.int64(7))",UP,"(9, 8)",0,0.8
"(np.int64(9), np.int64(7))",UP,"(8, 7)",0,0.1
"(np.int64(9), np.int64(7))",UP,"(10, 7)",0,0.1
"(np.int64(10), np.int64(7))",LEFT,"(9, 7)",0,0.8
"(np.int64(10), np.int64(7))",LEFT,"(10, 8)",0,0.1
"(np.int64(10), np.int64(7))",LEFT,"(10, 6)",0,0.1
"(np.int64(10), np.int64(7))",RIGHT,"(10, 7)",0,0.8
"(np.int64(10), np.int64(7))",RIGHT,"(10, 8)",0,0.1
"(np.int64(10), np.int64(7))",RIGHT,"(10, 6)",0,0.1
"(np.int64(10), np.int64(7))",DOWN,"(10, 6)",0,0.8
"(np.int64(10), np.int64(7))",DOWN,"(9, 7)",0,0.1
"(np.int64(10), np.int64(7))",DOWN,"(10, 7)",0,0.1
"(np.int64(10), np.int64(7))",UP,"(10, 8)",0,0.8
"(np.int64(10), np.int64(7))",UP,"(9, 7)",0,0.1
"(np.int64(10), np.int64(7))",UP,"(10, 7)",0,0.1
"(np.int64(0), np.int64(6))",LEFT,"(0, 6)",0,0.8
"(np.int64(0), np.int64(6))",LEFT,"(0, 7)",0,0.1
"(np.int64(0), np.int64(6))",LEFT,"(0, 6)",0,0.1
"(np.int64(0), np.int64(6))",RIGHT,"(1, 6)",0,0.8
"(np.int64(0), np.int64(6))",RIGHT,"(0, 7)",0,0.1
"(np.int64(0), np.int64(6))",RIGHT,"(0, 6)",0,0.1
"(np.int64(0), np.int64(6))",DOWN,"(0, 6)",0,0.8
"(np.int64(0), np.int64(6))",DOWN,"(0, 6)",0,0.1
"(np.int64(0), np.int64(6))",DOWN,"(1, 6)",0,0.1
"(np.int64(0), np.int64(6))",UP,"(0, 7)",0,0.8
"(np.int64(0), np.int64(6))",UP,"(0, 6)",0,0.1
"(np.int64(0), np.int64(6))",UP,"(1, 6)",0,0.1
"(np.int64(1), np.int64(6))",LEFT,"(0, 6)",0,0.8
"(np.int64(1), np.int64(6))",LEFT,"(1, 7)",0,0.1
"(np.int64(1), np.int64(6))",LEFT,"(1, 5)",0,0.1
"(np.int64(1), np.int64(6))",RIGHT,"(2, 6)",0,0.8
"(np.int64(1), np.int64(6))",RIGHT,"(1, 7)",0,0.1
"(np.int64(1), np.int64(6))",RIGHT,"(1, 5)",0,0.1
"(np.int64(1), np.int64(6))",DOWN,"(1, 5)",0,0.8
"(np.int64(1), np.int64(6))",DOWN,"(0, 6)",0,0.1
"(np.int64(1), np.int64(6))",DOWN,"(2, 6)",0,0.1
"(np.int64(1), np.int64(6))",UP,"(1, 7)",0,0.8
"(np.int64(1), np.int64(6))",UP,"(0, 6)",0,0.1
"(np.int64(1), np.int64(6))",UP,"(2, 6)",0,0.1
"(np.int64(2), np.int64(6))",LEFT,"(1, 6)",0,0.8
"(np.int64(2), np.int64(6))",LEFT,"(2, 7)",0,0.1
"(np.int64(2), np.int64(6))",LEFT,"(2, 6)",0,0.1
"(np.int64(2), np.int64(6))",RIGHT,"(3, 6)",0,0.8
"(np.int64(2), np.int64(6))",RIGHT,"(2, 7)",0,0.1
"(np.int64(2), np.int64(6))",RIGHT,"(2, 6)",0,0.1
"(np.int64(2), np.int64(6))",DOWN,"(2, 6)",0,0.8
"(np.int64(2), np.int64(6))",DOWN,"(1, 6)",0,0.1
"(np.int64(2), np.int64(6))",DOWN,"(3, 6)",0,0.1
"(np.int64(2), np.int64(6))",UP,"(2, 7)",0,0.8
"(np.int64(2), np.int64(6))",UP,"(1, 6)",0,0.1
"(np.int64(2), np.int64(6))",UP,"(3, 6)",0,0.1
"(np.int64(3), np.int64(6))",LEFT,"(2, 6)",0,0.8
"(np.int64(3), np.int64(6))",LEFT,"(3, 7)",0,0.1
"(np.int64(3), np.int64(6))",LEFT,"(3, 6)",0,0.1
"(np.int64(3), np.int64(6))",RIGHT,"(4, 6)",0,0.8
"(np.int64(3), np.int64(6))",RIGHT,"(3, 7)",0,0.1
"(np.int64(3), np.int64(6))",RIGHT,"(3, 6)",0,0.1
"(np.int64(3), np.int64(6))",DOWN,"(3, 6)",0,0.8
"(np.int64(3), np.int64(6))",DOWN,"(2, 6)",0,0.1
"(np.int64(3), np.int64(6))",DOWN,"(4, 6)",0,0.1
"(np.int64(3), np.int64(6))",UP,"(3, 7)",0,0.8
"(np.int64(3), np.int64(6))",UP,"(2, 6)",0,0.1
"(np.int64(3), np.int64(6))",UP,"(4, 6)",0,0.1
"(np.int64(4), np.int64(6))",LEFT,"(3, 6)",0,0.8
"(np.int64(4), np.int64(6))",LEFT,"(4, 7)",0,0.1
"(np.int64(4), np.int64(6))",LEFT,"(4, 6)",0,0.1
"(np.int64(4), np.int64(6))",RIGHT,"(4, 6)",0,0.8
"(np.int64(4), np.int64(6))",RIGHT,"(4, 7)",0,0.1
"(np.int64(4), np.int64(6))",RIGHT,"(4, 6)",0,0.1
"(np.int64(4), np.int64(6))",DOWN,"(4, 6)",0,0.8
"(np.int64(4), np.int64(6))",DOWN,"(3, 6)",0,0.1
"(np.int64(4), np.int64(6))",DOWN,"(4, 6)",0,0.1
"(np.int64(4), np.int64(6))",UP,"(4, 7)",0,0.8
"(np.int64(4), np.int64(6))",UP,"(3, 6)",0,0.1
"(np.int64(4), np.int64(6))",UP,"(4, 6)",0,0.1
"(np.int64(6), np.int64(6))",LEFT,"(6, 6)",0,0.8
"(np.int64(6), np.int64(6))",LEFT,"(6, 7)",0,0.1
"(np.int64(6), np.int64(6))",LEFT,"(6, 5)",0,0.1
"(np.int64(6), np.int64(6))",RIGHT,"(7, 6)",0,0.8
"(np.int64(6), np.int64(6))",RIGHT,"(6, 7)",0,0.1
"(np.int64(6), np.int64(6))",RIGHT,"(6, 5)",0,0.1
"(np.int64(6), np.int64(6))",DOWN,"(6, 5)",0,0.8
"(np.int64(6), np.int64(6))",DOWN,"(6, 6)",0,0.1
"(np.int64(6), np.int64(6))",DOWN,"(7, 6)",0,0.1
"(np.int64(6), np.int64(6))",UP,"(6, 7)",0,0.8
"(np.int64(6), np.int64(6))",UP,"(6, 6)",0,0.1
"(np.int64(6), np.int64(6))",UP,"(7, 6)",0,0.1
"(np.int64(7), np.int64(6))",LEFT,"(6, 6)",0,0.8
"(np.int64(7), np.int64(6))",LEFT,"(7, 7)",0,0.1
"(np.int64(7), np.int64(6))",LEFT,"(7, 5)",0,0.1
"(np.int64(7), np.int64(6))",RIGHT,"(8, 6)",0,0.8
"(np.int64(7), np.int64(6))",RIGHT,"(7, 7)",0,0.1
"(np.int64(7), np.int64(6))",RIGHT,"(7, 5)",0,0.1
"(np.int64(7), np.int64(6))",DOWN,"(7, 5)",0,0.8
"(np.int64(7), np.int64(6))",DOWN,"(6, 6)",0,0.1
"(np.int64(7), np.int64(6))",DOWN,"(8, 6)",0,0.1
"(np.int64(7), np.int64(6))",UP,"(7, 7)",0,0.8
"(np.int64(7), np.int64(6))",UP,"(6, 6)",0,0.1
"(np.int64(7), np.int64(6))",UP,"(8, 6)",0,0.1
"(np.int64(8), np.int64(6))",LEFT,"(7, 6)",0,0.8
"(np.int64(8), np.int64(6))",LEFT,"(8, 7)",0,0.1
"(np.int64(8), np.int64(6))",LEFT,"(8, 5)",0,0.1
"(np.int64(8), np.int64(6))",RIGHT,"(9, 6)",0,0.8
"(np.int64(8), np.int64(6))",RIGHT,"(8, 7)",0,0.1
"(np.int64(8), np.int64(6))",RIGHT,"(8, 5)",0,0.1
"(np.int64(8), np.int64(6))",DOWN,"(8, 5)",0,0.8
"(np.int64(8), np.int64(6))",DOWN,"(7, 6)",0,0.1
"(np.int64(8), np.int64(6))",DOWN,"(9, 6)",0,0.1
"(np.int64(8), np.int64(6))",UP,"(8, 7)",0,0.8
"(np.int64(8), np.int64(6))",UP,"(7, 6)",0,0.1
"(np.int64(8), np.int64(6))",UP,"(9, 6)",0,0.1
"(np.int64(9), np.int64(6))",LEFT,"(8, 6)",0,0.8
"(np.int64(9), np.int64(6))",LEFT,"(9, 7)",0,0.1
"(np.int64(9), np.int64(6))",LEFT,"(9, 5)",0,0.1
"(np.int64(9), np.int64(6))",RIGHT,"(10, 6)",0,0.8
"(np.int64(9), np.int64(6))",RIGHT,"(9, 7)",0,0.1
"(np.int64(9), np.int64(6))",RIGHT,"(9, 5)",0,0.1
"(np.int64(9), np.int64(6))",DOWN,"(9, 5)",0,0.8
"(np.int64(9), np.int64(6))",DOWN,"(8, 6)",0,0.1
"(np.int64(9), np.int64(6))",DOWN,"(10, 6)",0,0.1
"(np.int64(9), np.int64(6))",UP,"(9, 7)",0,0.8
"(np.int64(9), np.int64(6))",UP,"(8, 6)",0,0.1
"(np.int64(9), np.int64(6))",UP,"(10, 6)",0,0.1
"(np.int64(10), np.int64(6))",LEFT,"(9, 6)",0,0.8
"(np.int64(10), np.int64(6))",LEFT,"(10, 7)",0,0.1
"(np.int64(10), np.int64(6))",LEFT,"(10, 5)",0,0.1
"(np.int64(10), np.int64(6))",RIGHT,"(10, 6)",0,0.8
"(np.int64(10), np.int64(6))",RIGHT,"(10, 7)",0,0.1
"(np.int64(10), np.int64(6))",RIGHT,"(10, 5)",0,0.1
"(np.int64(10), np.int64(6))",DOWN,"(10, 5)",0,0.8
"(np.int64(10), np.int64(6))",DOWN,"(9, 6)",0,0.1
"(np.int64(10), np.int64(6))",DOWN,"(10, 6)",0,0.1
"(np.int64(10), np.int64(6))",UP,"(10, 7)",0,0.8
"(np.int64(10), np.int64(6))",UP,"(9, 6)",0,0.1
"(np.int64(10), np.int64(6))",UP,"(10, 6)",0,0.1
"(np.int64(1), np.int64(5))",LEFT,"(1, 5)",0,0.8
"(np.int64(1), np.int64(5))",LEFT,"(1, 6)",0,0.1
"(np.int64(1), np.int64(5))",LEFT,"(1, 4)",0,0.1
"(np.int64(1), np.int64(5))",RIGHT,"(1, 5)",0,0.8
"(np.int64(1), np.int64(5))",RIGHT,"(1, 6)",0,0.1
"(np.int64(1), np.int64(5))",RIGHT,"(1, 4)",0,0.1
"(np.int64(1), np.int64(5))",DOWN,"(1, 4)",0,0.8
"(np.int64(1), np.int64(5))",DOWN,"(1, 5)",0,0.1
"(np.int64(1), np.int64(5))",DOWN,"(1, 5)",0,0.1
"(np.int64(1), np.int64(5))",UP,"(1, 6)",0,0.8
"(np.int64(1), np.int64(5))",UP,"(1, 5)",0,0.1
"(np.int64(1), np.int64(5))",UP,"(1, 5)",0,0.1
"(np.int64(6), np.int64(5))",LEFT,"(6, 5)",0,0.8
"(np.int64(6), np.int64(5))",LEFT,"(6, 6)",0,0.1
"(np.int64(6), np.int64(5))",LEFT,"(6, 5)",0,0.1
