s,a,s_prime,r,p
"(np.int64(6), np.int64(2))",LEFT,"(6, 3)",0,0.1
"(np.int64(6), np.int64(2))",LEFT,"(6, 1)",0,0.1
"(np.int64(6), np.int64(2))",RIGHT,"(7, 2)",0,0.8
"(np.int64(6), np.int64(2))",RIGHT,"(6, 3)",0,0.1
"(np.int64(6), np.int64(2))",RIGHT,"(6, 1)",0,0.1
"(np.int64(6), np.int64(2))",DOWN,"(6, 1)",0,0.8
"(np.int64(6), np.int64(2))",DOWN,"(6, 2)",0,0.1
"(np.int64(6), np.int64(2))",DOWN,"(7, 2)",0,0.1
"(np.int64(6), np.int64(2))",UP,"(6, 3)",0,0.8
"(np.int64(6), np.int64(2))",UP,"(6, 2)",0,0.1
"(np.int64(6), np.int64(2))",UP,"(7, 2)",0,0.1
"(np.int64(7), np.int64(2))",LEFT,"(6, 2)",0,0.8
"(np.int64(7), np.int64(2))",LEFT,"(7, 3)",0,0.1
"(np.int64(7), np.int64(2))",LEFT,"(7, 1)",0,0.1
"(np.int64(7), np.int64(2))",RIGHT,"(8, 2)",0,0.8
"(np.int64(7), np.int64(2))",RIGHT,"(7, 3)",0,0.1
"(np.int64(7), np.int64(2))",RIGHT,"(7, 1)",0,0.1
"(np.int64(7), np.int64(2))",DOWN,"(7, 1)",0,0.8
"(np.int64(7), np.int64(2))",DOWN,"(6, 2)",0,0.1
"(np.int64(7), np.int64(2))",DOWN,"(8, 2)",0,0.1
"(np.int64(7), np.int64(2))",UP,"(7, 3)",0,0.8
"(np.int64(7), np.int64(2))",UP,"(6, 2)",0,0.1
"(np.int64(7), np.int64(2))",UP,"(8, 2)",0,0.1
"(np.int64(8), np.int64(2))",LEFT,"(7, 2)",0,0.8
"(np.int64(8), np.int64(2))",LEFT,"(8, 3)",0,0.1
"(np.int64(8), np.int64(2))",LEFT,"(8, 1)",0,0.1
"(np.int64(8), np.int64(2))",RIGHT,"(9, 2)",0,0.8
"(np.int64(8), np.int64(2))",RIGHT,"(8, 3)",0,0.1
"(np.int64(8), np.int64(2))",RIGHT,"(8, 1)",0,0.1
"(np.int64(8), np.int64(2))",DOWN,"(8, 1)",0,0.8
"(np.int64(8), np.int64(2))",DOWN,"(7, 2)",0,0.1
"(np.int64(8), np.int64(2))",DOWN,"(9, 2)",0,0.1
"(np.int64(8), np.int64(2))",UP,"(8, 3)",0,0.8
"(np.int64(8), np.int64(2))",UP,"(7, 2)",0,0.1
"(np.int64(8), np.int64(2))",UP,"(9, 2)",0,0.1
"(np.int64(9), np.int64(2))",LEFT,"(8, 2)",0,0.8
"(np.int64(9), np.int64(2))",LEFT,"(9, 3)",0,0.1
"(np.int64(9), np.int64(2))",LEFT,"(9, 1)",0,0.1
"(np.int64(9), np.int64(2))",RIGHT,"(10, 2)",0,0.8
"(np.int64(9), np.int64(2))",RIGHT,"(9, 3)",0,0.1
"(np.int64(9), np.int64(2))",RIGHT,"(9, 1)",0,0.1
"(np.int64(9), np.int64(2))",DOWN,"(9, 1)",0,0.8
"(np.int64(9), np.int64(2))",DOWN,"(8, 2)",0,0.1
"(np.int64(9), np.int64(2))",DOWN,"(10, 2)",0,0.1
"(np.int64(9), np.int64(2))",UP,"(9, 3)",0,0.8
"(np.int64(9), np.int64(2))",UP,"(8, 2)",0,0.1
"(np.int64(9), np.int64(2))",UP,"(10, 2)",0,0.1
"(np.int64(10), np.int64(2))",LEFT,"(9, 2)",0,0.8
"(np.int64(10), np.int64(2))",LEFT,"(10, 3)",0,0.1
"(np.int64(10), np.int64(2))",LEFT,"(10, 1)",0,0.1
"(np.int64(10), np.int64(2))",RIGHT,"(10, 2)",0,0.8
"(np.int64(10), np.int64(2))",RIGHT,"(10, 3)",0,0.1
"(np.int64(10), np.int64(2))",RIGHT,"(10, 1)",0,0.1
"(np.int64(10), np.int64(2))",DOWN,"(10, 1)",0,0.8
"(np.int64(10), np.int64(2))",DOWN,"(9, 2)",0,0.1
"(np.int64(10), np.int64(2))",DOWN,"(10, 2)",0,0.1
"(np.int64(10), np.int64(2))",UP,"(10, 3)",0,0.8
"(np.int64(10), np.int64(2))",UP,"(9, 2)",0,0.1
"(np.int64(10), np.int64(2))",UP,"(10, 2)",0,0.1
"(np.int64(0), np.int64(1))",LEFT,"(0, 1)",0,0.8
"(np.int64(0), np.int64(1))",LEFT,"(0, 2)",0,0.1
"(np.int64(0), np.int64(1))",LEFT,"(0, 0)",0,0.1
"(np.int64(0), np.int64(1))",RIGHT,"(1, 1)",0,0.8
"(np.int64(0), np.int64(1))",RIGHT,"(0, 2)",0,0.1
"(np.int64(0), np.int64(1))",RIGHT,"(0, 0)",0,0.1
"(np.int64(0), np.int64(1))",DOWN,"(0, 0)",0,0.8
"(np.int64(0), np.int64(1))",DOWN,"(0, 1)",0,0.1
"(np.int64(0), np.int64(1))",DOWN,"(1, 1)",0,0.1
"(np.int64(0), np.int64(1))",UP,"(0, 2)",0,0.8
"(np.int64(0), np.int64(1))",UP,"(0, 1)",0,0.1
"(np.int64(0), np.int64(1))",UP,"(1, 1)",0,0.1
"(np.int64(1), np.int64(1))",LEFT,"(0, 1)",0,0.8
"(np.int64(1), np.int64(1))",LEFT,"(1, 2)",0,0.1
"(np.int64(1), np.int64(1))",LEFT,"(1, 0)",0,0.1
"(np.int64(1), np.int64(1))",RIGHT,"(2, 1)",0,0.8
"(np.int64(1), np.int64(1))",RIGHT,"(1, 2)",0,0.1
"(np.int64(1), np.int64(1))",RIGHT,"(1, 0)",0,0.1
"(np.int64(1), np.int64(1))",DOWN,"(1, 0)",0,0.8
"(np.int64(1), np.int64(1))",DOWN,"(0, 1)",0,0.1
"(np.int64(1), np.int64(1))",DOWN,"(2, 1)",0,0.1
"(np.int64(1), np.int64(1))",UP,"(1, 2)",0,0.8
"(np.int64(1), np.int64(1))",UP,"(0, 1)",0,0.1
"(np.int64(1), np.int64(1))",UP,"(2, 1)",0,0.1
"(np.int64(2), np.int64(1))",LEFT,"(1, 1)",0,0.8
"(np.int64(2), np.int64(1))",LEFT,"(2, 2)",0,0.1
"(np.int64(2), np.int64(1))",LEFT,"(2, 0)",0,0.1
"(np.int64(2), np.int64(1))",RIGHT,"(3, 1)",0,0.8
"(np.int64(2), np.int64(1))",RIGHT,"(2, 2)",0,0.1
"(np.int64(2), np.int64(1))",RIGHT,"(2, 0)",0,0.1
"(np.int64(2), np.int64(1))",DOWN,"(2, 0)",0,0.8
"(np.int64(2), np.int64(1))",DOWN,"(1, 1)",0,0.1
"(np.int64(2), np.int64(1))",DOWN,"(3, 1)",0,0.1
"(np.int64(2), np.int64(1))",UP,"(2, 2)",0,0.8
"(np.int64(2), np.int64(1))",UP,"(1, 1)",0,0.1
"(np.int64(2), np.int64(1))",UP,"(3, 1)",0,0.1
"(np.int64(3), np.int64(1))",LEFT,"(2, 1)",0,0.8
"(np.int64(3), np.int64(1))",LEFT,"(3, 2)",0,0.1
"(np.int64(3), np.int64(1))",LEFT,"(3, 0)",0,0.1
"(np.int64(3), np.int64(1))",RIGHT,"(4, 1)",0,0.8
"(np.int64(3), np.int64(1))",RIGHT,"(3, 2)",0,0.1
"(np.int64(3), np.int64(1))",RIGHT,"(3, 0)",0,0.1
"(np.int64(3), np.int64(1))",DOWN,"(3, 0)",0,0.8
"(np.int64(3), np.int64(1))",DOWN,"(2, 1)",0,0.1
"(np.int64(3), np.int64(1))",DOWN,"(4, 1)",0,0.1
"(np.int64(3), np.int64(1))",UP,"(3, 2)",0,0.8
"(np.int64(3), np.int64(1))",UP,"(2, 1)",0,0.1
"(np.int64(3), np.int64(1))",UP,"(4, 1)",0,0.1
"(np.int64(4), np.int64(1))",LEFT,"(3, 1)",0,0.8
"(np.int64(4), np.int64(1))",LEFT,"(4, 2)",0,0.1
"(np.int64(4), np.int64(1))",LEFT,"(4, 0)",0,0.1
"(np.int64(4), np.int64(1))",RIGHT,"(5, 1)",0,0.8
"(np.int64(4), np.int64(1))",RIGHT,"(4, 2)",0,0.1
"(np.int64(4), np.int64(1))",RIGHT,"(4, 0)",0,0.1
"(np.int64(4), np.int64(1))",DOWN,"(4, 0)",0,0.8
"(np.int64(4), np.int64(1))",DOWN,"(3, 1)",0,0.1
"(np.int64(4), np.int64(1))",DOWN,"(5, 1)",0,0.1
"(np.int64(4), np.int64(1))",UP,"(4, 2)",0,0.8
"(np.int64(4), np.int64(1))",UP,"(3, 1)",0,0.1
"(np.int64(4), np.int64(1))",UP,"(5, 1)",0,0.1
"(np.int64(5), np.int64(1))",LEFT,"(4, 1)",0,0.8
"(np.int64(5), np.int64(1))",LEFT,"(5, 1)",0,0.1
"(np.int64(5), np.int64(1))",LEFT,"(5, 1)",0,0.1
"(np.int64(5), np.int64(1))",RIGHT,"(6, 1)",0,0.8
"(np.int64(5), np.int64(1))",RIGHT,"(5, 1)",0,0.1
"(np.int64(5), np.int64(1))",RIGHT,"(5, 1)",0,0.1
"(np.int64(5), np.int64(1))",DOWN,"(5, 1)",0,0.8
"(np.int64(5), np.int64(1))",DOWN,"(4, 1)",0,0.1
"(np.int64(5), np.int64(1))",DOWN,"(6, 1)",0,0.1
"(np.int64(5), np.int64(1))",UP,"(5, 1)",0,0.8
"(np.int64(5), np.int64(1))",UP,"(4, 1)",0,0.1
"(np.int64(5), np.int64(1))",UP,"(6, 1)",0,0.1
"(np.int64(6), np.int64(1))",LEFT,"(5, 1)",0,0.8
"(np.int64(6), np.int64(1))",LEFT,"(6, 2)",0,0.1
"(np.int64(6), np.int64(1))",LEFT,"(6, 0)",0,0.1
"(np.int64(6), np.int64(1))",RIGHT,"(7, 1)",0,0.8
"(np.int64(6), np.int64(1))",RIGHT,"(6, 2)",0,0.1
"(np.int64(6), np.int64(1))",RIGHT,"(6, 0)",0,0.1
"(np.int64(6), np.int64(1))",DOWN,"(6, 0)",0,0.8
"(np.int64(6), np.int64(1))",DOWN,"(5, 1)",0,0.1
"(np.int64(6), np.int64(1))",DOWN,"(7, 1)",0,0.1
"(np.int64(6), np.int64(1))",UP,"(6, 2)",0,0.8
"(np.int64(6), np.int64(1))",UP,"(5, 1)",0,0.1
"(np.int64(6), np.int64(1))",UP,"(7, 1)",0,0.1
"(np.int64(7), np.int64(1))",LEFT,"(6, 1)",0,0.8
"(np.int64(7), np.int64(1))",LEFT,"(7, 2)",0,0.1
"(np.int64(7), np.int64(1))",LEFT,"(7, 0)",0,0.1
"(np.int64(7), np.int64(1))",RIGHT,"(8, 1)",0,0.8
"(np.int64(7), np.int64(1))",RIGHT,"(7, 2)",0,0.1
"(np.int64(7), np.int64(1))",RIGHT,"(7, 0)",0,0.1
"(np.int64(7), np.int64(1))",DOWN,"(7, 0)",0,0.8
"(np.int64(7), np.int64(1))",DOWN,"(6, 1)",0,0.1
"(np.int64(7), np.int64(1))",DOWN,"(8, 1)",0,0.1
"(np.int64(7), np.int64(1))",UP,"(7, 2)",0,0.8
"(np.int64(7), np.int64(1))",UP,"(6, 1)",0,0.1
"(np.int64(7), np.int64(1))",UP,"(8, 1)",0,0.1
"(np.int64(8), np.int64(1))",LEFT,"(7, 1)",0,0.8
"(np.int64(8), np.int64(1))",LEFT,"(8, 2)",0,0.1
"(np.int64(8), np.int64(1))",LEFT,"(8, 0)",0,0.1
"(np.int64(8), np.int64(1))",RIGHT,"(9, 1)",0,0.8
"(np.int64(8), np.int64(1))",RIGHT,"(8, 2)",0,0.1
"(np.int64(8), np.int64(1))",RIGHT,"(8, 0)",0,0.1
"(np.int64(8), np.int64(1))",DOWN,"(8, 0)",0,0.8
"(np.int64(8), np.int64(1))",DOWN,"(7, 1)",0,0.1
"(np.int64(8), np.int64(1))",DOWN,"(9, 1)",0,0.1
"(np.int64(8), np.int64(1))",UP,"(8, 2)",0,0.8
"(np.int64(8), np.int64(1))",UP,"(7, 1)",0,0.1
"(np.int64(8), np.int64(1))",UP,"(9, 1)",0,0.1
"(np.int64(9), np.int64(1))",LEFT,"(8, 1)",0,0.8
"(np.int64(9), np.int64(1))",LEFT,"(9, 2)",0,0.1
"(np.int64(9), np.int64(1))",LEFT,"(9, 0)",0,0.1
"(np.int64(9), np.int64(1))",RIGHT,"(10, 1)",0,0.8
"(np.int64(9), np.int64(1))",RIGHT,"(9, 2)",0,0.1
"(np.int64(9), np.int64(1))",RIGHT,"(9, 0)",0,0.1
"(np.int64(9), np.int64(1))",DOWN,"(9, 0)",0,0.8
"(np.int64(9), np.int64(1))",DOWN,"(8, 1)",0,0.1
"(np.int64(9), np.int64(1))",DOWN,"(10, 1)",0,0.1
"(np.int64(9), np.int64(1))",UP,"(9, 2)",0,0.8
"(np.int64(9), np.int64(1))",UP,"(8, 1)",0,0.1
"(np.int64(9), np.int64(1))",UP,"(10, 1)",0,0.1
"(np.int64(10), np.int64(1))",LEFT,"(9, 1)",0,0.8
"(np.int64(10), np.int64(1))",LEFT,"(10, 2)",0,0.1
"(np.int64(10), np.int64(1))",LEFT,"(10, 0)",0,0.1
"(np.int64(10), np.int64(1))",RIGHT,"(10, 1)",0,0.8
"(np.int64(10), np.int64(1))",RIGHT,"(10, 2)",0,0.1
"(np.int64(10), np.int64(1))",RIGHT,"(10, 0)",0,0.1
"(np.int64(10), np.int64(1))",DOWN,"(10, 0)",0,0.8
"(np.int64(10), np.int64(1))",DOWN,"(9, 1)",0,0.1
"(np.int64(10), np.int64(1))",DOWN,"(10, 1)",0,0.1
"(np.int64(10), np.int64(1))",UP,"(10, 2)",0,0.8
"(np.int64(10), np.int64(1))",UP,"(9, 1)",0,0.1
"(np.int64(10), np.int64(1))",UP,"(10, 1)",0,0.1
"(np.int64(0), np.int64(0))",LEFT,"(0, 0)",0,0.8
"(np.int64(0), np.int64(0))",LEFT,"(0, 1)",0,0.1
"(np.int64(0), np.int64(0))",LEFT,"(0, 0)",0,0.1
"(np.int64(0), np.int64(0))",RIGHT,"(1, 0)",0,0.8
"(np.int64(0), np.int64(0))",RIGHT,"(0, 1)",0,0.1
"(np.int64(0), np.int64(0))",RIGHT,"(0, 0)",0,0.1
"(np.int64(0), np.int64(0))",DOWN,"(0, 0)",0,0.8
"(np.int64(0), np.int64(0))",DOWN,"(0, 0)",0,0.1
"(np.int64(0), np.int64(0))",DOWN,"(1, 0)",0,0.1
"(np.int64(0), np.int64(0))",UP,"(0, 1)",0,0.8
"(np.int64(0), np.int64(0))",UP,"(0, 0)",0,0.1
"(np.int64(0), np.int64(0))",UP,"(1, 0)",0,0.1
"(np.int64(1), np.int64(0))",LEFT,"(0, 0)",0,0.8
"(np.int64(1), np.int64(0))",LEFT,"(1, 1)",0,0.1
"(np.int64(1), np.int64(0))",LEFT,"(1, 0)",0,0.1
"(np.int64(1), np.int64(0))",RIGHT,"(2, 0)",0,0.8
"(np.int64(1), np.int64(0))",RIGHT,"(1, 1)",0,0.1
"(np.int64(1), np.int64(0))",RIGHT,"(1, 0)",0,0.1
"(np.int64(1), np.int64(0))",DOWN,"(1, 0)",0,0.8
"(np.int64(1), np.int64(0))",DOWN,"(0, 0)",0,0.1
"(np.int64(1), np.int64(0))",DOWN,"(2, 0)",0,0.1
"(np.int64(1), np.int64(0))",UP,"(1, 1)",0,0.8
"(np.int64(1), np.int64(0))",UP,"(0, 0)",0,0.1
"(np.int64(1), np.int64(0))",UP,"(2, 0)",0,0.1
"(np.int64(2), np.int64(0))",LEFT,"(1, 0)",0,0.8
"(np.int64(2), np.int64(0))",LEFT,"(2, 1)",0,0.1
"(np.int64(2), np.int64(0))",LEFT,"(2, 0)",0,0.1
"(np.int64(2), np.int64(0))",RIGHT,"(3, 0)",0,0.8
"(np.int64(2), np.int64(0))",RIGHT,"(2, 1)",0,0.1
"(np.int64(2), np.int64(0))",RIGHT,"(2, 0)",0,0.1
"(np.int64(2), np.int64(0))",DOWN,"(2, 0)",0,0.8
"(np.int64(2), np.int64(0))",DOWN,"(1, 0)",0,0.1
"(np.int64(2), np.int64(0))",DOWN,"(3, 0)",0,0.1
"(np.int64(2), np.int64(0))",UP,"(2, 1)",0,0.8
"(np.int64(2), np.int64(0))",UP,"(1, 0)",0,0.1
"(np.int64(2), np.int64(0))",UP,"(3, 0)",0,0.1
"(np.int64(3), np.int64(0))",LEFT,"(2, 0)",0,0.8
"(np.int64(3), np.int64(0))",LEFT,"(3, 1)",0,0.1
"(np.int64(3), np.int64(0))",LEFT,"(3, 0)",0,0.1
"(np.int64(3), np.int64(0))",RIGHT,"(4, 0)",0,0.8
"(np.int64(3), np.int64(0))",RIGHT,"(3, 1)",0,0.1
"(np.int64(3), np.int64(0))",RIGHT,"(3, 0)",0,0.1
"(np.int64(3), np.int64(0))",DOWN,"(3, 0)",0,0.8
"(np.int64(3), np.int64(0))",DOWN,"(2, 0)",0,0.1
"(np.int64(3), np.int64(0))",DOWN,"(4, 0)",0,0.1
"(np.int64(3), np.int64(0))",UP,"(3, 1)",0,0.8
"(np.int64(3), np.int64(0))",UP,"(2, 0)",0,0.1
"(np.int64(3), np.int64(0))",UP,"(4, 0)",0,0.1
"(np.int64(4), np.int64(0))",LEFT,"(3, 0)",0,0.8
"(np.int64(4), np.int64(0))",LEFT,"(4, 1)",0,0.1
"(np.int64(4), np.int64(0))",LEFT,"(4, 0)",0,0.1
"(np.int64(4), np.int64(0))",RIGHT,"(4, 0)",0,0.8
"(np.int64(4), np.int64(0))",RIGHT,"(4, 1)",0,0.1
"(np.int64(4), np.int64(0))",RIGHT,"(4, 0)",0,0.1
"(np.int64(4), np.int64(0))",DOWN,"(4, 0)",0,0.8
"(np.int64(4), np.int64(0))",DOWN,"(3, 0)",0,0.1
"(np.int64(4), np.int64(0))",DOWN,"(4, 0)",0,0.1
"(np.int64(4), np.int64(0))",UP,"(4, 1)",0,0.8
"(np.int64(4), np.int64(0))",UP,"(3, 0)",0,0.1
"(np.int64(4), np.int64(0))",UP,"(4, 0)",0,0.1
"(np.int64(6), np.int64(0))",LEFT,"(6, 0)",0,0.8
"(np.int64(6), np.int64(0))",LEFT,"(6, 1)",0,0.1
"(np.int64(6), np.int64(0))",LEFT,"(6, 0)",0,0.1
"(np.int64(6), np.int64(0))",RIGHT,"(7, 0)",0,0.8
"(np.int64(6), np.int64(0))",RIGHT,"(6, 1)",0,0.1
"(np.int64(6), np.int64(0))",RIGHT,"(6, 0)",0,0.1
"(np.int64(6), np.int64(0))",DOWN,"(6, 0)",0,0.8
"(np.int64(6), np.int64(0))",DOWN,"(6, 0)",0,0.1
"(np.int64(6), np.int64(0))",DOWN,"(7, 0)",0,0.1
"(np.int64(6), np.int64(0))",UP,"(6, 1)",0,0.8
"(np.int64(6), np.int64(0))",UP,"(6, 0)",0,0.1
"(np.int64(6), np.int64(0))",UP,"(7, 0)",0,0.1
"(np.int64(7), np.int64(0))",LEFT,"(6, 0)",0,0.8
"(np.int64(7), np.int64(0))",LEFT,"(7, 1)",0,0.1
"(np.int64(7), np.int64(0))",LEFT,"(7, 0)",0,0.1
"(np.int64(7), np.int64(0))",RIGHT,"(8, 0)",0,0.8
"(np.int64(7), np.int64(0))",RIGHT,"(7, 1)",0,0.1
"(np.int64(7), np.int64(0))",RIGHT,"(7, 0)",0,0.1
"(np.int64(7), np.int64(0))",DOWN,"(7, 0)",0,0.8
"(np.int64(7), np.int64(0))",DOWN,"(6, 0)",0,0.1
"(np.int64(7), np.int64(0))",DOWN,"(8, 0)",0,0.1
"(np.int64(7), np.int64(0))",UP,"(7, 1)",0,0.8
"(np.int64(7), np.int64(0))",UP,"(6, 0)",0,0.1
"(np.int64(7), np.int64(0))",UP,"(8, 0)",0,0.1
"(np.int64(8), np.int64(0))",LEFT,"(7, 0)",0,0.8
"(np.int64(8), np.int64(0))",LEFT,"(8, 1)",0,0.1
"(np.int64(8), np.int64(0))",LEFT,"(8, 0)",0,0.1
"(np.int64(8), np.int64(0))",RIGHT,"(9, 0)",0,0.8
"(np.int64(8), np.int64(0))",RIGHT,"(8, 1)",0,0.1
"(np.int64(8), np.int64(0))",RIGHT,"(8, 0)",0,0.1
"(np.int64(8), np.int64(0))",DOWN,"(8, 0)",0,0.8
"(np.int64(8), np.int64(0))",DOWN,"(7, 0)",0,0.1
"(np.int64(8), np.int64(0))",DOWN,"(9, 0)",0,0.1
"(np.int64(8), np.int64(0))",UP,"(8, 1)",0,0.8
"(np.int64(8), np.int64(0))",UP,"(7, 0)",0,0.1
"(np.int64(8), np.int64(0))",UP,"(9, 0)",0,0.1
"(np.int64(9), np.int64(0))",LEFT,"(8, 0)",0,0.8
"(np.int64(9), np.int64(0))",LEFT,"(9, 1)",0,0.1
"(np.int64(9), np.int64(0))",LEFT,"(9, 0)",0,0.1
"(np.int64(9), np.int64(0))",RIGHT,"(10, 0)",0,0.8
"(np.int64(9), np.int64(0))",RIGHT,"(9, 1)",0,0.1
"(np.int64(9), np.int64(0))",RIGHT,"(9, 0)",0,0.1
"(np.int64(9), np.int64(0))",DOWN,"(9, 0)",0,0.8
"(np.int64(9), np.int64(0))",DOWN,"(8, 0)",0,0.1
"(np.int64(9), np.int64(0))",DOWN,"(10, 0)",0,0.1
"(np.int64(9), np.int64(0))",UP,"(9, 1)",0,0.8
"(np.int64(9), np.int64(0))",UP,"(8, 0)",0,0.1
"(np.int64(9), np.int64(0))",UP,"(10, 0)",0,0.1
"(np.int64(10), np.int64(0))",LEFT,"(9, 0)",0,0.8
"(np.int64(10), np.int64(0))",LEFT,"(10, 1)",0,0.1
"(np.int64(10), np.int64(0))",LEFT,"(10, 0)",0,0.1
"(np.int64(10), np.int64(0))",RIGHT,"(10, 0)",0,0.8
"(np.int64(10), np.int64(0))",RIGHT,"(10, 1)",0,0.1
"(np.int64(10), np.int64(0))",RIGHT,"(10, 0)",0,0.1
"(np.int64(10), np.int64(0))",DOWN,"(10, 0)",0,0.8
"(np.int64(10), np.int64(0))",DOWN,"(9, 0)",0,0.1
"(np.int64(10), np.int64(0))",DOWN,"(10, 0)",0,0.1
"(np.int64(10), np.int64(0))",UP,"(10, 1)",0,0.8
"(np.int64(10), np.int64(0))",UP,"(9, 0)",0,0.1
"(np.int64(10), np.int64(0))",UP,"(10, 0)",0,0.1
